Year,Month,Time of Day,Officer Gender,Officer Age,Subject Perceived Gender,Subject Age Group,Weapon Type,Stop Resolution,Officer_Race_American Indian/Alaska Native,Officer_Race_Asian,Officer_Race_Black or African American,Officer_Race_Hispanic or Latino,Officer_Race_Nat Hawaiian/Oth Pac Islander,Officer_Race_Two or More Races,Officer_Race_White,Subject_Race_American Indian or Alaska Native,Subject_Race_Asian,Subject_Race_Black or African American,Subject_Race_Hispanic,Subject_Race_Multi-Racial,Subject_Race_Native Hawaiian or Other Pacific Islander,Subject_Race_White,Initial_Call_Type_Assault With Or Without Weapons (No Shootings),Initial_Call_Type_Assault With Shooting,Initial_Call_Type_Disturbance,Initial_Call_Type_Drug Related Incidents,Initial_Call_Type_Fight With Weapons,Initial_Call_Type_Fight Without Weapons,Initial_Call_Type_Potential Safety Threats (Physical/Verbal),Initial_Call_Type_Robbery (Includes Strong Arm),Initial_Call_Type_Shots - Ip/Jo - Includes Heard/No Assault,"Initial_Call_Type_Suspicious Person, Vehicle Or Incident",Initial_Call_Type_Suspicious Stop - Officer Initiated Onview,Initial_Call_Type_Theft (Including Shoplift),Initial_Call_Type_Traffic Incidents - Dui And Mvc Involving Hit And Run/Injuries,Initial_Call_Type_Traffic Stop - Officer Initiated Onview,Initial_Call_Type_Unlawful Entry (Burglary/Trespass),Final_Call_Type_Assaults with weapons,Final_Call_Type_Assaults without weapons,Final_Call_Type_Disturbance,Final_Call_Type_Domestic Violence,Final_Call_Type_Drug Related Incidents,Final_Call_Type_Person With Weapon,Final_Call_Type_Prowler/Trespass/Burglary,Final_Call_Type_Suspicious Circum/Person/Vehicle,Final_Call_Type_Theft,Final_Call_Type_Traffic Related Incidents
2019,7,0,0,54,0.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,10,2,1,30,1.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2019,5,3,0,45,0.0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2021,9,2,0,47,0.0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,4,1,0,27,1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,10,2,0,31,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,7,2,0,24,0.0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019,9,1,1,28,0.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2016,3,3,0,30,0.0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,9,3,0,49,0.0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,12,3,0,50,1.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020,4,1,0,42,1.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,3,2,0,30,0.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,3,0,0,43,0.0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,5,0,0,25,0.0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,2,0,0,31,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,1,0,0,34,0.0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,6,1,0,59,0.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2018,12,0,0,28,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,8,0,0,32,0.0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,2,1,0,26,0.0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,3,1,0,26,1.0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,9,0,0,28,0.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
